symbol;name;start;end;period;id
ARE;Alexandria Real Estate Equities Inc. (ARE) Prices and Trading Volume;1997-05-28;2018-03-27;daily;11251316
AREX;Approach Resources Inc. (AREX) Prices and Trading Volume;2007-11-08;2018-03-27;daily;10987810
ARG;Airgas Inc. (ARG) Prices and Trading Volume;1986-12-22;2016-05-20;daily;9775557
ARI;Apollo Commercial Real Estate Finance Inc. (ARI) Prices and Trading Volume;2009-09-24;2018-03-27;daily;11251329
ARIA;ARIAD Pharmaceuticals Inc. (ARIA) Prices and Trading Volume;1994-09-19;2017-02-15;daily;10988748
ARII;American Railcar Industries Inc (ARII) Prices and Trading Volume;2006-01-23;2018-03-27;daily;10984186
ARNA;Arena Pharmaceuticals Inc. (ARNA) Prices and Trading Volume;2000-07-28;2018-03-27;daily;10988518
ARNC;Arconic Inc. (ARNC) Prices and Trading Volume;1962-01-02;2018-03-27;daily;34155934
ARO;Aeropostale Inc. (ARO) Prices and Trading Volume;2002-05-16;2016-04-21;daily;10977410
AROW;Arrow Financial Corp. (AROW) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10989315
ARPI;American Residential Properties Inc (ARPI) Prices and Trading Volume;2013-05-09;2016-02-29;daily;11251323
ARQL;ArQule Inc. (ARQL) Prices and Trading Volume;1996-10-16;2018-03-27;daily;10989150
ARR;ARMOUR Residential REIT Inc. (ARR) Prices and Trading Volume;2007-12-03;2018-03-27;daily;11251334
ARRS;ARRIS Group Inc. (New) (ARRS) Prices and Trading Volume;1993-09-17;2018-03-27;daily;10989215
ARRY;Array BioPharma Inc. (ARRY) Prices and Trading Volume;2000-11-30;2018-03-27;daily;10989154
ARTC;ArthroCare Corporation (ARTC) Prices and Trading Volume;1996-02-05;2014-05-29;daily;10989595
ARUN;Aruba Networks Inc. (ARUN) Prices and Trading Volume;2007-03-27;2015-05-18;daily;10989757
ARW;Arrow Electronics Inc. (ARW) Prices and Trading Volume;1984-07-19;2018-03-27;daily;10989269
ARWR;Arrowhead Research Corp (ARWR) Prices and Trading Volume;1997-01-06;2018-03-27;daily;10989407
ARX;Aeroflex Holding Corp. (ARX) Prices and Trading Volume;2010-11-19;2014-09-12;daily;10977405
ASC;Ardmore Shipping Corp (ASC) Prices and Trading Volume;2013-08-01;2018-03-27;daily;10988491
ASEI;American Science & Engineering Inc (ASEI) Prices and Trading Volume;1984-09-07;2016-09-09;daily;10984389
ASGN;On Assignment Inc. (ASGN) Prices and Trading Volume;1992-09-23;2018-03-27;daily;11111710
ASH;Ashland Inc (ASH) Prices and Trading Volume;1983-04-06;2018-03-27;daily;10990155
ASNA;Ascena Retail Group Inc. (ASNA) Prices and Trading Volume;1990-03-26;2018-03-27;daily;10989971
ASPS;Altisource Portfolio Solutions S.A. (ASPS) Prices and Trading Volume;2009-08-06;2018-03-27;daily;10982124
ASPX;Auspex Pharmaceuticals Inc (ASPX) Prices and Trading Volume;2014-02-05;2015-05-04;daily;10992534
ASTE;Astec Industries Inc. (ASTE) Prices and Trading Volume;1986-06-19;2018-03-27;daily;10990750
AT;Atlantic Power Corp (AT) Prices and Trading Volume;2009-12-03;2018-03-27;daily;10991358
ATEC;Alphatec Holdings Inc. (ATEC) Prices and Trading Volume;2006-06-12;2018-03-27;daily;10981678
ATEN;A10 Networks Inc  (ATEN) Prices and Trading Volume;2014-03-21;2018-03-27;daily;13694540
ATHN;athenahealth Inc. (ATHN) Prices and Trading Volume;2007-09-20;2018-03-27;daily;10991139
ATI;Allegheny Technologies Incorporated (ATI) Prices and Trading Volume;1999-11-29;2018-03-07;daily;9775558
ATLO;Ames National Corp. (ATLO) Prices and Trading Volume;2000-02-15;2018-03-27;daily;10985052
ATMI;ATMI Inc. (ATMI) Prices and Trading Volume;1993-11-23;2014-04-29;daily;10991730
ATML;Atmel Corp. (ATML) Prices and Trading Volume;1991-03-19;2016-04-04;daily;10991682
ATNI;Atlantic Tele-Network Inc. (ATNI) Prices and Trading Volume;1991-11-14;2018-03-27;daily;10991413
ATNM;ACTINIUM PHARMS INC (ATNM) Prices and Trading Volume;2012-12-27;2018-03-27;daily;10974844
ATNY;API Technologies Corp. (ATNY) Prices and Trading Volume;2006-11-07;2016-04-22;daily;10987312
ATO;Atmos Energy Corp. (ATO) Prices and Trading Volume;1983-12-28;2018-03-27;daily;10991788
ATR;AptarGroup Inc. (ATR) Prices and Trading Volume;1993-04-23;2018-03-27;daily;10987846
